,temp_air,ghi,dni,dhi,wind_speed
2019-01-01 00:00:00,26.78,0.0,-0.0,0.0,1.84
2019-01-01 00:10:00,26.14,0.0,-0.0,0.0,1.74
2019-01-01 00:20:00,25.5,0.0,-0.0,0.0,1.63
2019-01-01 00:30:00,24.86,0.0,-0.0,0.0,1.53
2019-01-01 00:40:00,24.22,0.0,-0.0,0.0,1.43
2019-01-01 00:50:00,23.58,0.0,-0.0,0.0,1.33
2019-01-01 01:00:00,22.94,0.0,-0.0,0.0,1.23
2019-01-01 01:10:00,22.3,0.0,-0.0,0.0,1.13
2019-01-01 01:20:00,23.86,0.0,-0.0,0.0,1.38
2019-01-01 01:30:00,23.68,0.0,-0.0,0.0,1.31
2019-01-01 01:40:00,23.72,115.0,318.59,61.0,0.9
2019-01-01 01:50:00,25.04,292.0,310.49,169.0,0.9
2019-01-01 02:00:00,26.45,370.0,124.39,295.0,1.38
2019-01-01 02:10:00,27.94,695.0,515.56,295.0,1.59
2019-01-01 02:20:00,28.72,970.0,944.58,117.0,1.38
2019-01-01 02:30:00,29.48,1073.0,1004.25,93.0,1.31
2019-01-01 02:40:00,30.03,1055.0,902.63,162.0,1.52
2019-01-01 02:50:00,29.73,964.0,790.41,219.0,0.48
2019-01-01 03:00:00,28.83,99.0,0.0,99.0,0.48
2019-01-01 03:10:00,29.84,62.0,0.0,62.0,0.34
2019-01-01 03:20:00,29.67,42.0,0.0,42.0,0.14
2019-01-01 03:30:00,28.88,20.0,0.0,20.0,0.34
2019-01-01 03:40:00,27.32,0.0,0.0,0.0,1.31
2019-01-01 03:50:00,26.54,0.0,-0.0,0.0,1.38
2019-01-01 04:00:00,25.93,0.0,-0.0,0.0,1.1
2019-01-01 04:10:00,25.27,0.0,-0.0,0.0,0.97
2019-01-01 04:20:00,24.73,0.0,-0.0,0.0,0.9
2019-01-01 04:30:00,24.94,0.0,-0.0,0.0,0.62
2019-01-01 04:40:00,24.57,0.0,-0.0,0.0,0.76
2019-01-01 04:50:00,24.96,0.0,-0.0,0.0,0.34
2019-01-01 05:00:00,24.52,0.0,-0.0,0.0,0.76
2019-01-01 05:10:00,24.38,0.0,-0.0,0.0,0.62
2019-01-01 05:20:00,24.18,0.0,-0.0,0.0,0.76
2019-01-01 05:30:00,24.11,0.0,-0.0,0.0,0.62
2019-01-01 05:40:00,24.37,26.0,0.0,26.0,0.34
2019-01-01 05:50:00,26.11,306.0,377.86,157.0,0.41
2019-01-01 06:00:00,27.58,526.0,508.75,220.0,0.9
2019-01-01 06:10:00,28.66,754.0,694.39,216.0,1.59
2019-01-01 06:20:00,29.73,918.0,781.23,213.0,1.79
2019-01-01 06:30:00,30.66,1062.0,968.53,117.0,1.59
2019-01-01 06:40:00,30.75,1038.0,852.83,194.0,1.52
2019-01-01 06:50:00,31.17,947.0,741.03,248.0,1.52
2019-01-01 07:00:00,31.41,90.0,0.0,90.0,1.52
2019-01-01 07:10:00,29.67,63.0,0.0,63.0,1.1
2019-01-01 07:20:00,29.7,42.0,0.0,42.0,0.41
2019-01-01 07:30:00,28.15,59.0,0.0,59.0,1.24
2019-01-01 07:40:00,27.46,1.0,0.0,1.0,0.97
2019-01-01 07:50:00,26.95,0.0,-0.0,0.0,1.45
2019-01-01 08:00:00,26.45,0.0,-0.0,0.0,1.52
2019-01-01 08:10:00,26.05,0.0,-0.0,0.0,1.86
2019-01-01 08:20:00,25.63,0.0,-0.0,0.0,1.86
2019-01-01 08:30:00,25.41,0.0,-0.0,0.0,1.86
2019-01-01 08:40:00,25.22,0.0,-0.0,0.0,2.07
2019-01-01 08:50:00,25.04,0.0,-0.0,0.0,2.28
2019-01-01 09:00:00,24.96,0.0,-0.0,0.0,2.28
2019-01-01 09:10:00,25.02,0.0,-0.0,0.0,1.93
2019-01-01 09:20:00,24.7,0.0,-0.0,0.0,1.79
2019-01-01 09:30:00,24.41,0.0,-0.0,0.0,1.66
2019-01-01 09:40:00,24.38,114.0,338.62,58.0,1.24
2019-01-01 09:50:00,26.19,354.0,647.13,100.0,1.24
2019-01-01 10:00:00,27.8,548.0,595.0,191.0,1.66
2019-01-01 10:10:00,28.93,766.0,740.58,193.0,1.79
2019-01-01 10:20:00,29.56,876.0,665.32,276.0,1.79
2019-01-01 10:30:00,30.15,950.0,656.02,310.0,1.66
2019-01-01 10:40:00,30.5,535.0,51.52,484.0,1.31
2019-01-01 10:50:00,30.86,140.0,0.0,140.0,0.69
2019-01-01 11:00:00,30.91,96.0,0.0,96.0,0.21
2019-01-01 11:10:00,29.73,362.0,55.28,324.0,0.9
2019-01-01 11:20:00,29.2,472.0,742.37,105.0,1.52
2019-01-01 11:30:00,28.57,63.0,0.0,63.0,1.59
2019-01-01 11:40:00,27.9,1.0,0.0,1.0,1.59
2019-01-01 11:50:00,27.17,0.0,-0.0,0.0,1.72
2019-01-01 12:00:00,26.6,0.0,-0.0,0.0,1.79
2019-01-01 12:10:00,26.17,0.0,-0.0,0.0,1.86
2019-01-01 12:20:00,25.77,0.0,-0.0,0.0,1.93
2019-01-01 12:30:00,25.55,0.0,-0.0,0.0,1.86
2019-01-01 12:40:00,25.4,0.0,-0.0,0.0,1.79
2019-01-01 12:50:00,25.13,0.0,-0.0,0.0,1.79
2019-01-01 13:00:00,24.75,0.0,-0.0,0.0,1.52
2019-01-01 13:10:00,24.25,0.0,-0.0,0.0,1.59
2019-01-01 13:20:00,24.02,0.0,-0.0,0.0,1.52
2019-01-01 13:30:00,23.67,0.0,-0.0,0.0,1.52
2019-01-01 13:40:00,23.86,110.0,318.44,58.0,1.45
2019-01-01 13:50:00,26.1,280.0,281.56,170.0,1.59
2019-01-01 14:00:00,27.87,575.0,711.75,149.0,2.21
2019-01-01 14:10:00,28.81,791.0,830.9,149.0,2.55
2019-01-01 14:20:00,29.83,963.0,926.52,128.0,2.48
2019-01-01 14:30:00,30.62,1010.0,816.02,214.0,1.93
2019-01-01 14:40:00,31.22,375.0,3.03,372.0,1.52
2019-01-01 14:50:00,31.65,404.0,11.64,393.0,1.45
2019-01-01 15:00:00,31.8,80.0,0.0,80.0,1.17
2019-01-01 15:10:00,31.59,63.0,0.0,63.0,0.83
2019-01-01 15:20:00,30.24,45.0,0.0,45.0,0.9
2019-01-01 15:30:00,29.29,20.0,0.0,20.0,0.76
2019-01-01 15:40:00,28.57,2.0,0.0,2.0,1.24
2019-01-01 15:50:00,27.55,0.0,-0.0,0.0,1.72
2019-01-01 16:00:00,26.77,0.0,-0.0,0.0,1.52
2019-01-01 16:10:00,26.14,0.0,-0.0,0.0,1.24
2019-01-01 16:20:00,25.58,0.0,-0.0,0.0,0.97
2019-01-01 16:30:00,25.4,0.0,-0.0,0.0,0.76
2019-01-01 16:40:00,24.58,0.0,-0.0,0.0,1.1
2019-01-01 16:50:00,24.51,0.0,-0.0,0.0,1.45
2019-01-01 17:00:00,24.37,0.0,-0.0,0.0,1.79
2019-01-01 17:10:00,24.11,0.0,-0.0,0.0,1.52
2019-01-01 17:20:00,23.76,0.0,-0.0,0.0,0.9
2019-01-01 17:30:00,23.73,0.0,-0.0,0.0,1.38
2019-01-01 17:40:00,23.82,58.0,24.81,54.0,1.24
2019-01-01 17:50:00,25.64,341.0,586.34,113.0,1.24
2019-01-01 18:00:00,27.37,589.0,782.18,122.0,1.31
2019-01-01 18:10:00,28.68,803.0,878.68,125.0,1.38
2019-01-01 18:20:00,29.63,957.0,909.35,138.0,1.24
2019-01-01 18:30:00,30.41,981.0,736.14,263.0,1.03
2019-01-01 18:40:00,31.07,711.0,200.88,512.0,1.17
2019-01-01 18:50:00,31.14,109.0,0.0,109.0,1.1
2019-01-01 19:00:00,31.35,107.0,0.0,107.0,0.97
2019-01-01 19:10:00,30.15,268.0,7.25,263.0,0.34
2019-01-01 19:20:00,29.52,69.0,0.0,69.0,0.21
2019-01-01 19:30:00,28.61,20.0,0.0,20.0,1.24
2019-01-01 19:40:00,27.78,2.0,0.0,2.0,1.24
2019-01-01 19:50:00,26.7,0.0,-0.0,0.0,1.52
2019-01-01 20:00:00,26.07,0.0,-0.0,0.0,1.17
2019-01-01 20:10:00,25.47,0.0,-0.0,0.0,1.03
2019-01-01 20:20:00,24.91,0.0,-0.0,0.0,0.9
2019-01-01 20:30:00,25.3,0.0,-0.0,0.0,0.41
2019-01-01 20:40:00,24.37,0.0,-0.0,0.0,0.76
2019-01-01 20:50:00,23.98,0.0,-0.0,0.0,0.83
2019-01-01 21:00:00,23.43,0.0,-0.0,0.0,1.03
2019-01-01 21:10:00,23.48,0.0,-0.0,0.0,1.03
2019-01-01 21:20:00,23.48,0.0,-0.0,0.0,0.83
2019-01-01 21:30:00,23.96,0.0,-0.0,0.0,0.48
2019-01-01 21:40:00,24.0,115.0,408.54,50.0,0.34
2019-01-01 21:50:00,25.61,344.0,617.53,105.0,0.21
2019-01-01 22:00:00,27.46,600.0,841.18,99.0,0.0
2019-01-01 22:10:00,28.93,810.0,911.0,108.0,0.28
2019-01-01 22:20:00,30.0,982.0,996.57,85.0,0.41
2019-01-01 22:30:00,31.08,1049.0,933.08,139.0,0.62
2019-01-01 22:40:00,31.71,1057.0,903.13,162.0,0.83
2019-01-01 22:50:00,32.15,1023.0,957.5,117.0,0.97
2019-01-01 23:00:00,32.33,890.0,904.07,127.0,0.9
2019-01-01 23:10:00,32.38,669.0,707.45,180.0,1.52
2019-01-01 23:20:00,31.54,391.0,369.19,207.0,2.28
2019-01-01 23:30:00,30.21,219.0,459.43,91.0,2.76
2019-01-01 23:40:00,29.23,2.0,0.0,2.0,1.66
2019-01-01 23:50:00,28.47,0.0,-0.0,0.0,1.1
2019-01-02 00:00:00,27.59,0.0,-0.0,0.0,0.76
